,Unnamed: 0,Tweet,StopwordRemoval,Casefolding,Normalize,RemoveEmoticon,Stemming,HasilPreprocess,HasilProcess_lr,HasilProcess_svm,HasilProcess_dt,HasilProcess_nb,HasilProcess_stacking
148,148,"#AniesIntoleran \nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8","#AniesIntoleran \nAnies Baswedan, memiliki integritas kredibilitas pemimpin. https://t.co/rv053Gt4j8","#aniesintoleran \nanies baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. ","#AniesIntoleran \nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8","#AniesIntoleran nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8",aniesintoleran nanies baswedan tak lagi milik integritas dan kredibilitas bagai orang pimpin https t co rv053gt4j8,aniesintoleran anies baswedan milik integritas kredibilitas pimpin,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
149,149,@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.,@agusriyadi12345 Apakah berita ahok penista agama. Misalnya Penista agama kampanye Jakarta pusat., agusriyadi apakah perlu semua berita ahok harus menggunakan penista agama. misalnya penista agama sedang kampanye di jaka a pusat.,@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.,@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.,agusriyadi12345 apakah perlu semua berita ahok harus guna nista agama misal nista agama sedang kampanye di jakarta pusat,agusriyadi berita ahok nista agama nista agama kampanye jaka a pusat,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
150,150,"@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?","@agusriyadi12345 Apakah sadis, berita ahok, judulnya diawali degan Terdakwa penista agama nama?"," agusriyadi apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan terdakwa penista agama bukan menggunakan nama?","@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?","@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?",agusriyadi12345 apakah tidak sadis jika semua berita tentang ahok judul awal degan dakwa nista agama bukan guna nama,agusriyadi sadis berita ahok judul awal degan dakwa nista agama nama,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian
151,151,"@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, mksd gw apa nyambungnya sama ahok?","@Altefalken kemarin berita penyakit mengingitis Babi, mksd gw nyambungnya ahok?"," altefalken kemarin kan ada berita tentang penyakit mengingitis dari babi, mksd gw apa nyambungnya sama ahok?","@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, maksud gue apa menyambungnya sama ahok?","@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, mksd gw apa nyambungnya sama ahok?",altefalken kemarin kan ada berita tentang sakit mengingitis dari babi mksd gw apa nyambungnya sama ahok,altefalken kemarin berita sakit mengingitis babi maksud gue sambung ahok,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
152,152,@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?,@ISejunnie @AHMADDHANIPRAST artis korea world tour ahmad dhani ?, isejunnie ahmaddhaniprast a is korea bisa world tour ahmad dhani bisa ?,@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?,@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?,isejunnie ahmaddhaniprast artis korea bisa world tour ahmad dhani bisa,isejunnie ahmaddhaniprast a is korea world tour ahmad dhani,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
153,153,"@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??","@HaqueMarissa ,, ahok jakarta , daging babi bali hubungan nya ya??"," haquemarissa ,, ahok di jaka a , daging babi di bali apa hubungan nya ya??","@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??","@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??",haquemarissa ahok di jakarta daging babi di bal apa hubung nya ya,haquemarissa ahok jaka a daging babi bal hubung nya ya,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
154,154,"Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26","Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26","ahmad dhani bangkrut ditagih utang melalui video, mantan istrinya jadi janda kaya raya hampir setahun berlalu, ","Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26","Ahmad Dhani Bangkrut Ditagih Utang Melalui Video, Mantan Istrinya Jadi Janda Kaya Raya: Hampir setahun berlalu, https://t.co/22InRwRR26",ahmad dhani bangkrut tagih utang lalu video mantan istri jadi janda kaya raya hampir tahun lalu https t co 22inrwrr26,ahmad dhani bangkrut tagih utang video mantan istri janda kayak raya tahun lalu,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
155,155,"Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI melalui @YouTube","Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI @YouTube","ahmad dhani sentil ahok, eh sandiaga uno cengar cengir.! melalui youtube","Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI melalui @YouTube","Ahmad Dhani Sentil AHOK, eh Sandiaga Uno cengar cengir.!: https://t.co/vhDAAa3ShI melalui @YouTube",ahmad dhani sentil ahok eh sandiaga uno cengar cengir https t co vhdaaa3shi lalu youtube,ahmad dhani sentil ahok eh sandiaga uno cengar cengir youtube,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
156,156,Hehhee.. Makanya jangan mengagumi sesorng berlebihan.. Kecuali kepada Rasulullah.. https://t.co/ZXVB2DiRMg,Hehhee.. Makanya mengagumi sesorng berlebihan.. Kecuali Rasulullah.. https://t.co/ZXVB2DiRMg,hehhee.. makanya jangan mengagumi sesorng berlebihan.. kecuali kepada rasulullah.. ,Hehhee.. Makanya jangan mengagumi sesorng berlebihan.. Kecuali kepada Rasulullah.. https://t.co/ZXVB2DiRMg,Hehhee.. Makanya jangan mengagumi sesorng berlebihan.. Kecuali kepada Rasulullah.. https://t.co/ZXVB2DiRMg,hehhee makanya jangan kagum sesorng lebih kecuali kepada rasulullah https t co zxvb2dirmg,hehhee kagum sesorng lebih kecuali rasulullah,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
157,157,#MataNajwaDebatJakarta acara uda abis menurut kalian debat sapa yang betul-betul memaparkan prog dan solusi?,#MataNajwaDebatJakarta acara uda abis debat sapa betul-betul memaparkan prog solusi?,#matanajwadebatjaka a acara uda abis menurut kalian debat sapa yang betul-betul memaparkan prog dan solusi?,#MataNajwaDebatJakarta acara sudah habis menurut kalian debat sapa yang betul-betul memaparkan program dan solusi?,#MataNajwaDebatJakarta acara uda abis menurut kalian debat sapa yang betul-betul memaparkan prog dan solusi?,matanajwadebatjakarta acara uda abis turut kalian debat sapa yang betul papar prog dan solusi,matanajwadebatjaka a acara sudah habis debat sapa betul papar program solusi,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
158,158,Mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... https://t.co/oj5YN3WBeI,Mereka (koruptor) meletakkan kitab suci ditempat rendah...tapi sok pemilik kapling surga... https://t.co/oj5YN3WBeI,mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... ,Mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... https://t.co/oj5YN3WBeI,Mereka (koruptor) meletakkan kitab suci ditempat paling rendah...tapi masih sok jadi pemilik kapling surga... https://t.co/oj5YN3WBeI,mereka koruptor letak kitab suci tempat paling rendah tapi masih sok jadi milik kapling surga https t co oj5yn3wbei,koruptor letak kitab suci tempat rendah tapi sok milik kapling surga,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
159,159,RT @99Ohhani: Woww dukungan Rakyat Palestina ke Ahok yg dituduhSbg penista Agama ?? mrk Mengelu2kan Ahok !!!Ahok is The Best https://t.co/,RT @99Ohhani: Woww dukungan Rakyat Palestina Ahok yg dituduhSbg penista Agama ?? mrk Mengelu2kan Ahok !!!Ahok is The Best https://t.co/, ohhani woww dukungan rakyat palestina ke ahok yg dituduhsbg penista agama ?? mrk mengelukan ahok !!!ahok is the best ,RT @99Ohhani: Woww dukungan Rakyat Palestina ke Ahok yang dituduhSbg penista Agama ?? mereka Mengelu2kan Ahok !!!Ahok is The Best https://t.co/,RT @99Ohhani: Woww dukungan Rakyat Palestina ke Ahok yg dituduhSbg penista Agama ?? mrk Mengelu2kan Ahok !!!Ahok is The Best https://t.co/,rt 99ohhani woww dukung rakyat palestina ke ahok yg dituduhsbg nista agama mrk mengelu2kan ahok ahok is the best https t co,ohhani wow dukung rakyat palestina ahok yang dituduhsbg nista agama mereka elu ahok ahok is the best,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
160,160,Pencitraan di socmed itu boleh-boleh aja. Tapi harus bisa tanggung jawab sama citra yang udh dibikin. Jangan sampe jadi malu-maluin. Kasian.,Pencitraan socmed boleh-boleh aja. Tapi tanggung citra udh dibikin. Jangan sampe malu-maluin. Kasian.,pencitraan di socmed itu boleh-boleh aja. tapi harus bisa tanggung jawab sama citra yang udh dibikin. jangan sampe jadi malu-maluin. kasian.,Pencitraan di media sosial itu boleh-boleh aja. Tapi harus bisa tanggung jawab sama citra yang sudah dibikin. Jangan sampai jadi malu-maluin. Kasian.,Pencitraan di socmed itu boleh-boleh aja. Tapi harus bisa tanggung jawab sama citra yang udh dibikin. Jangan sampe jadi malu-maluin. Kasian.,citra di socmed itu boleh aja tapi harus bisa tanggung jawab sama citra yang udh bikin jangan sampe jadi malu-maluin kasi,citra media sosial boleh aja tanggung citra sudah bikin sampai malu-maluin kasi,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian
161,161,RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan ke Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN,RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN, kompascom kasus kicauan ahmad dhani dilimpahkan ke polres metro jaka a selatan. ,RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan ke Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN,RT @kompascom: Kasus Kicauan Ahmad Dhani Dilimpahkan ke Polres Metro Jakarta Selatan. https://t.co/uJ0m7JernN,rt kompascom kasus kicau ahmad dhani limpah ke polres metro jakarta selatan https t co uj0m7jernn,kompascom kicau ahmad dhani limpah polisi resor metro jaka a selatan,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
162,162,RT @kv_kahfi: Komplit bgt yaaaa..... Heran nya msh aja yg percaya dan idolain dia https://t.co/PNTYRAnaJO,RT @kv_kahfi: Komplit bgt yaaaa..... Heran nya msh aja yg percaya idolain https://t.co/PNTYRAnaJO, kv_kahfi komplit bgt yaaaa..... heran nya msh aja yg percaya dan idolain dia ,RT @kv_kahfi: Komplit banget yaaaa..... Heran nya masih saja yang percaya dan idolain dia https://t.co/PNTYRAnaJO,RT @kv_kahfi: Komplit bgt yaaaa..... Heran nya msh aja yg percaya dan idolain dia https://t.co/PNTYRAnaJO,rt kv kahfi komplit bgt yaaaa heran nya msh aja yg percaya dan idolain dia https t co pntyranajo,kv kahfi komplit banget yaaaa heran nya masih saja yang percaya idolain,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
163,163,RT @m0th3rb04rd__: bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjara\n #BerjamaahTolakReklamasi,RT @m0th3rb04rd__: keadilan tercipta si penista agama vonis penjara\n #BerjamaahTolakReklamasi, mthrbrd__ bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjara\n #berjamaahtolakreklamasi,RT @m0th3rb04rd__: bagaimana keadilan bisa tercipta jika sih penista agama belum di vonis penjara\n #BerjamaahTolakReklamasi,RT @m0th3rb04rd__: bagaimana keadilan bisa tercipta jika si penista agama belum di vonis penjara #BerjamaahTolakReklamasi,rt m0th3rb04rd bagaimana adil bisa cipta jika si nista agama belum di vonis penjara n berjamaahtolakreklamasi,mthrbrd adil cipta sih nista agama vonis penjara berjamaahtolakreklamasi,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
164,164,"RT @TeddyGusnaidi: Bro.. Kalau yg dimaksud Fatwa Penista agama, MUI gak pernah mengeluarkan Fatwa. https://t.co/x9uXhqJKCa","RT @TeddyGusnaidi: Bro.. Kalau yg Fatwa Penista agama, MUI gak mengeluarkan Fatwa. https://t.co/x9uXhqJKCa"," teddygusnaidi bro.. kalau yg dimaksud fatwa penista agama, mui gak pernah mengeluarkan fatwa. ","RT @TeddyGusnaidi: Bro.. Kalau yang dimaksud Fatwa Penista agama, MUI tidak pernah mengeluarkan Fatwa. https://t.co/x9uXhqJKCa","RT @TeddyGusnaidi: Bro.. Kalau yg dimaksud Fatwa Penista agama, MUI gak pernah mengeluarkan Fatwa. https://t.co/ XhqJKCa",rt teddygusnaidi bro kalau yg maksud fatwa nista agama mui gak pernah keluar fatwa https t co x9uxhqjkca,teddygusnaidi bro yang fatwa nista agama majelis ulama indonesia tidak keluar fatwa,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
165,165,RT @TeddyGusnaidi: Sidang hari ini makin menguatkan bahwa Ahok bukan penista agama.. Ada yang bisa bantah?? \nhttps://t.co/2Ksj4snR1t,RT @TeddyGusnaidi: Sidang menguatkan Ahok penista agama.. Ada bantah?? \nhttps://t.co/2Ksj4snR1t, teddygusnaidi sidang hari ini makin menguatkan bahwa ahok bukan penista agama.. ada yang bisa bantah?? \n ,RT @TeddyGusnaidi: Sidang hari ini makin menguatkan bahwa Ahok bukan penista agama.. Ada yang bisa bantah?? \nhttps://t.co/2Ksj4snR1t,RT @TeddyGusnaidi: Sidang hari ini makin menguatkan bahwa Ahok bukan penista agama.. Ada yang bisa bantah?? nhttps://t.co/2Ksj4snR1t,rt teddygusnaidi sidang hari ini makin kuat bahwa ahok bukan nista agama ada yang bisa bantah nhttps t co 2ksj4snr1t,teddygusnaidi sidang kuat ahok nista agama bantah dan,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
166,166,"Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG","Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG","sebut ahok bukan akademisi, ahmad dhani secara intelektual, lebih intelek bang anies ","Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG","Sebut Ahok Bukan Akademisi, Ahmad Dhani: Secara Intelektual, Lebih Intelek Bang Anies https://t.co/YrzfmMV1LG",sebut ahok bukan akademisi ahmad dhani cara intelektual lebih intelek bang anies https t co yrzfmmv1lg,ahok akademisi ahmad dhani intelektual intelek bang anies,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
167,167,"Yg melakukan Penista Agama sesungguhnya, agama yg suci digunakan alat untuk mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS","Yg Penista Agama sesungguhnya, agama yg suci alat mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS","yg melakukan penista agama sesungguhnya, agama yg suci digunakan alat untuk mengejar jabatan (kekuasaan) ","Yg melakukan Penista Agama sesungguhnya, agama yang suci digunakan alat untuk mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS","Yg melakukan Penista Agama sesungguhnya, agama yg suci digunakan alat untuk mengejar jabatan (kekuasaan) https://t.co/hKvZIpm8ZS",yg laku nista agama sungguh agama yg suci guna alat untuk kejar jabat kuasa https t co hkvzipm8zs,yang nista agama sungguh agama yang suci alat kejar jabat kuasa,adalah ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
168,168,"Kalah di Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt","Kalah Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt","kalah di pilkada bekasi, ahmad dhani jadi juru kampanye pasangan anies-sandi #nenengyes ","Kalah di Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt","Kalah di Pilkada Bekasi, Ahmad Dhani Jadi Juru Kampanye Pasangan Anies-Sandi https://t.co/oIZpN8hYnd #NenengYes https://t.co/FGOhKhXWxt",kalah di pilkada bekas ahmad dhani jadi juru kampanye pasang anies-sandi https t co oizpn8hynd nenengyes https t co fgohkhxwxt,kalah pilih kepala daerah bekas ahmad dhani juru kampanye pasang anies-sandi nenengyes,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian
169,169,#MataNajwaDebatJakarta Bravo closing statement Anies malam ini.kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka.,#MataNajwaDebatJakarta Bravo closing statement Anies malam ini.kalau nggak debat nggak nonton mata najwa sdh tdk suka.,#matanajwadebatjaka a bravo closing statement anies malam ini.kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka.,#MataNajwaDebatJakarta Bravo closing pernyataan Anies malam ini.kalau enggak ada debat saya enggak mungkin menonton mata najwa sudah lama tidak suka.,#MataNajwaDebatJakarta Bravo closing statement Anies malam ini.kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka.,matanajwadebatjakarta bravo closing statement anies malam ini kalau nggak ada debat saya nggak mungkin nonton mata najwa sdh lama tdk suka,matanajwadebatjaka a bravo closing nyata anies malam ini kalau enggak debat enggak tonton mata najwa sudah tidak suka,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
170,170,"#MataNajwaDebatJakarta jawaban terakhir Anis jadi bikin ingat jawaban dia pas debat kemarin, ""jawaban anda menarik tapi tidak nyambung""","#MataNajwaDebatJakarta Anis bikin pas debat kemarin, ""jawaban menarik nyambung""","#matanajwadebatjaka a jawaban terakhir anis jadi bikin ingat jawaban dia pas debat kemarin, ""jawaban anda menarik tapi tidak nyambung""","#MataNajwaDebatJakarta jawaban terakhir Anis jadi bikin ingat jawaban dia pas debat kemarin, ""jawaban anda menarik tapi tidak nyambung""","#MataNajwaDebatJakarta jawaban terakhir Anis jadi bikin ingat jawaban dia pas debat kemarin, ""jawaban anda menarik tapi tidak nyambung""",matanajwadebatjakarta jawab akhir anis jadi bikin ingat jawab dia pas debat kemarin jawab anda tarik tapi tidak nyambung,matanajwadebatjaka a anis bikin pas debat kemarin jawab tarik nyambung,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
171,171,"#MataNajwaDebatJakarta buzzer ahok lagi kerja keras nih,.ayo kerja2 tar gajian ga turun","#MataNajwaDebatJakarta buzzer ahok kerja keras nih,.ayo kerja2 tar gajian ga turun","#matanajwadebatjaka a buzzer ahok lagi kerja keras nih,.ayo kerja tar gajian ga turun","#MataNajwaDebatJakarta buzzer ahok lagi kerja keras nih,.ayo kerja2 tar gajian tidak turun","#MataNajwaDebatJakarta buzzer ahok lagi kerja keras nih,.ayo kerja2 tar gajian ga turun",matanajwadebatjakarta buzzer ahok lagi kerja keras nih ayo kerja2 tar gaji ga turun,matanajwadebatjaka a buzzer ahok kerja keras nih ayo kerja tar gaji tidak turun,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
172,172,#MataNajwaDebatJakarta kerendahan hati dan lawan kerendahan hati kelihatan banget..,#MataNajwaDebatJakarta kerendahan hati lawan kerendahan hati banget..,#matanajwadebatjaka a kerendahan hati dan lawan kerendahan hati kelihatan banget..,#MataNajwaDebatJakarta kerendahan hati dan lawan kerendahan hati kelihatan banget..,#MataNajwaDebatJakarta kerendahan hati dan lawan kerendahan hati kelihatan banget..,matanajwadebatjakarta rendah hati dan lawan rendah hati lihat banget,matanajwadebatjaka a rendah hati lawan rendah hati banget,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
173,173,#MataNajwaDebatJakarta kok gaya pak @aniesbaswedan kayak SBY ya?,#MataNajwaDebatJakarta gaya @aniesbaswedan kayak SBY ya?,#matanajwadebatjaka a kok gaya pak aniesbaswedan kayak sby ya?,#MataNajwaDebatJakarta kok gaya pak @aniesbaswedan kayak SBY ya?,#MataNajwaDebatJakarta kok gaya pak @aniesbaswedan kayak SBY ya?,matanajwadebatjakarta kok gaya pak aniesbaswedan kayak sby ya,matanajwadebatjaka a gaya aniesbaswedan kayak susilo bambang yudhoyono ya,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
174,174,"#MataNajwaDebatJakarta kenyataannya si anis nyaman bgt dgn isu sara kok , kan nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,","#MataNajwaDebatJakarta kenyataannya si anis nyaman bgt dgn isu sara , nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,","#matanajwadebatjaka a kenyataannya si anis nyaman bgt dgn isu sara kok , kan nguntungin anis , pura sok bijak pdhl menikmati isu sara ,","#MataNajwaDebatJakarta kenyataanya sih anis nyaman banget dengan isu sara kok , kan menguntungkan anis , pura pura sok bijak padahal menikmati isu sara ,","#MataNajwaDebatJakarta kenyataannya si anis nyaman bgt dgn isu sara kok , kan nguntungin anis , pura2 sok bijak pdhl menikmati isu sara ,",matanajwadebatjakarta nyata si anis nyaman bgt dgn isu sara kok kan nguntungin anis pura2 sok bijak pdhl nikmat isu sara,matanajwadebatjaka a kenyataanya sih anis nyaman banget dengan isu sara untung anis pura sok bijak padahal nikmat isu sara,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian,adalah ujaran kebencian
175,175,#MataNajwaDebatJakarta nyesel liat debat tidak bermutu cuma bisa mencela..,#MataNajwaDebatJakarta nyesel liat debat bermutu mencela..,#matanajwadebatjaka a nyesel liat debat tidak bermutu cuma bisa mencela..,#MataNajwaDebatJakarta menyesal lihat debat tidak bermutu cuma bisa mencela..,#MataNajwaDebatJakarta nyesel liat debat tidak bermutu cuma bisa mencela..,matanajwadebatjakarta nyesel liat debat tidak mutu cuma bisa cela,matanajwadebatjaka a sesal lihat debat mutu cela,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
176,176,#MataNajwaDebatJakarta.kesimpulan: Saya tdk rela punya Gub seorg Anies dan sy percaya Ahok akan menang. Salam 2 jari.,#MataNajwaDebatJakarta.kesimpulan: Saya tdk rela Gub seorg Anies sy percaya Ahok menang. Salam 2 jari.,#matanajwadebatjaka a.kesimpulan saya tdk rela punya gub seorg anies dan sy percaya ahok akan menang. salam  jari.,#MataNajwaDebatJakarta.kesimpulan: Saya tidak rela punya Gub seorang Anies dan saya percaya Ahok akan menang. Salam 2 jari.,#MataNajwaDebatJakarta.kesimpulan: Saya tdk rela punya Gub seorg Anies dan sy percaya Ahok akan menang. Salam 2 jari.,matanajwadebatjakarta simpul saya tdk rela punya gub seorg anies dan sy percaya ahok akan menang salam 2 jari,matanajwadebatjaka a simpul tidak rela gubernur orang anies saya percaya ahok menang salam jari,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
177,177,@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta,@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta, ibnusungeb ahoker panas dingin ahok kalah debat sama anis. #matanajwadebatjaka a,@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta,@ibnusungeb ahoker panas dingin ahok kalah debat Sama Anis. #MataNajwaDebatJakarta,ibnusungeb ahoker panas dingin ahok kalah debat sama anis matanajwadebatjakarta,ibnusungeb ahoker panas dingin ahok kalah debat anis matanajwadebatjaka a,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,adalah ujaran kebencian,bukan ujaran kebencian
178,178,Ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #MataNajwaDebatJakarta,Ada yg ga backsound penutup mata najwa musisinya judulnya? #MataNajwaDebatJakarta,ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #matanajwadebatjaka a,Ada yang tahu tidak backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #MataNajwaDebatJakarta,Ada yg tahu ga backsound penutup mata najwa ini siapa musisinya dan apa judulnya? #MataNajwaDebatJakarta,ada yg tahu ga backsound tutup mata najwa ini siapa musisi dan apa judul matanajwadebatjakarta,yang tidak backsound tutup mata najwa musisi judul matanajwadebatjaka a,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian,bukan ujaran kebencian
